"MaStR-Nr. der Einheit";"Anzeige-Name der Einheit";"Betriebs-Status";"Inbetriebnahmedatum der Einheit";"Registrierungsdatum der Einheit";"Energieträger";"Bruttoleistung der Einheit";"Nettonennleistung der Einheit";"Postleitzahl";"Ort";"Name des Anlagenbetreibers (nur Org.)";"	MaStR-Nr. des Anlagenbetreibers";"Letzte Aktualisierung"
"SEE970620022037";"1381090";"In Betrieb";"25.10.2024";"28.10.2024";"Wind";"4200";"4200";"56729";"Luxem";"Windpark Luxem GmbH & Co. KG";"ABR997731288992";"28.10.2024"
"SEE928501590908";"1381089";"In Betrieb";"23.10.2024";"28.10.2024";"Wind";"4200";"4200";"56729";"Nachtsheim";"Windpark Luxem GmbH & Co. KG";"ABR997731288992";"28.10.2024"
"SEE901654531738";"Kleinwindkraftanlage";"In Betrieb";"28.10.2024";"28.10.2024";"Wind";"5";"5";"49584";"Fürstenau";"(natürliche Person)";"ABR970869668515";"28.10.2024"
"SEE995313717854";"SG-42 E-160 Schlangen";"In Planung";"";"28.10.2024";"Wind";"5500";"5500";"33189";"Schlangen";"Lackmann Phymetric GmbH";"ABR973145726527";"28.10.2024"
"SEE945521475626";"Kirchbrombach WEA 01";"In Planung";"";"28.10.2024";"Wind";"7200";"7200";"64753";"Brombachtal";"JUWI GmbH";"ABR941190092140";"28.10.2024"
"SEE928275710434";"Kirchbrombach WEA 02";"In Planung";"";"28.10.2024";"Wind";"7200";"7200";"64753";"Brombachtal";"JUWI GmbH";"ABR941190092140";"28.10.2024"
"SEE914631355159";"Kirchbrombach WEA 03";"In Planung";"";"28.10.2024";"Wind";"7200";"7200";"64753";"Brombachtal";"JUWI GmbH";"ABR941190092140";"28.10.2024"
"SEE922521318726";"WEA 3";"In Betrieb";"24.10.2024";"25.10.2024";"Wind";"5700";"5700";"33175";"Bad Lippspringe";"Flütwind GmbH & Co. KG";"ABR927489477492";"25.10.2024"
"SEE942586874821";"WEA 4";"In Betrieb";"24.10.2024";"25.10.2024";"Wind";"5700";"5700";"33175";"Bad Lippspringe";"Flütwind GmbH & Co. KG";"ABR927489477492";"25.10.2024"
"SEE914984514463";"WP Frauenhagen FRHrep3";"In Betrieb";"24.10.2024";"25.10.2024";"Wind";"5700";"5700";"16278";"Angermünde";"e.disnatur Erneuerbare Energien GmbH";"ABR905749214889";"25.10.2024"
