EicCode,EicDisplayName,EicLongName,EicParent,EicResponsibleParty,EicStatus,MarketParticipantPostalCode,MarketParticipantIsoCountryCode,MarketParticipantVatCode,EicTypeFunctionList,type
26WAI-PONTE10003,0_868,IMAI_PONTE_1,,,Active,,,,Production Unit,W
26WIMPI-00680951,IM-0068095,IM_0068095,,,Active,,,,Production Unit,W
26WIMPI-0073522R,IM-0073522,IM_0073522,,,Active,,,,Production Unit,W
26WIMPI-0077109F,IM-0077109,IM_0077109,,,Active,,,,Production Unit,W
26WIMPI-0080544Q,IM-0080544,IM_0080544,,,Active,,,,Production Unit,W
26WIMPI-00834908,IM-0083490,IM_0083490,,,Active,,,,Production Unit,W
11W0-0000-0004-B,D4_GKM_DB_PROD,GKM-Anteil_DB_Prod,,11XGKM-P-------6,Active,,,,Production Unit,W
11W0-0000-0005-8,D4_GKM_TNG_PROD,GKM-Anteil_TNG_Prod,,11XGKM-P-------6,Active,,,,Production Unit,W
11W0-0000-0006-5,D4_GKM_AMP_PROD,GKM-Anteil_Amprion_Prod,,11XGKM-P-------6,Active,,,,Production Unit,W
11W0-0000-0007-2,D4_GKM_NETR_PROD,GKM-Anteil_Netrion_Prod,,11XGKM-P-------6,Active,,,,Production Unit,W
11W0-0000-0010-J,WEST_TURBINE_5,HKW WEST TURBINE 5,,11XMAINOVA-----9,Active,,,,Generation Unit,W
11W0-0000-0011-G,N1,Nordsee One Offshore Windpark,,,Active,,,,Generation,W
11W0-0000-0014-7,TURBINE_5,West Turbine 5,,11XMAINOVA-----9,Active,,,,Generation,W
11W0-0000-0016-1,BAT_HERDECKE,Batterie Herdecke,,11XRWETRADING--0,Active,,,,Storage Plant,W
11W0-0000-0017-Z,UNIT_HERDECKE,Unit Herdecke,,11XRWETRADING--0,Active,,,,Generation,W
11W0-0000-0026-Y,WIK_PROD,Wikinger_Prod,,,Active,,,,Generation,W
11W0-0000-0027-V,D4_VIW_RELLS,VIW_Rellswerk,,11XENBW-H------P,Active,,,,Generation,W
11W0-0000-0028-S,D4_VIW_RELLS_SUM,VIW_Rellswerk_Summe,,11XENBW-H------P,Active,,,,Production Unit,W
11W0-0000-0029-P,N1_PU,Nordsee One Offshore Wind Park,,,Active,,,,Production Unit,W
